iter	RMSE
0	0.4139569416
1	0.4030892243
2	0.3938222697
3	0.3859239797
4	0.3793572437
5	0.3733399642
6	0.3681773687
7	0.3639103746
8	0.3600755557
9	0.3569843377
10	0.3543656349
11	0.3506556049
12	0.3482379556
13	0.3462771101
14	0.3424553842
15	0.3410202411
16	0.3388548504
17	0.3376086086
18	0.3352361843
19	0.3340980796
20	0.3314041061
21	0.3294858334
22	0.3287500292
23	0.3260400416
24	0.3239446748
25	0.3222136189
26	0.3205456562
27	0.3181334712
28	0.3141466708
29	0.3129461496
30	0.3121848181
31	0.3109756551
32	0.308079269
33	0.3072393869
34	0.3067551748
35	0.3049731842
36	0.3028596689
37	0.3006926719
38	0.2981517473
39	0.2960122652
40	0.2930318448
41	0.2924850987
42	0.2909361035
43	0.2904605241
44	0.2875713165
45	0.2854098809
46	0.2840662828
47	0.2816706801
48	0.279935791
49	0.2793396862
50	0.2782588064
51	0.2762578977
52	0.2757379731
53	0.2738510434
54	0.2718244982
55	0.2704842818
56	0.2700165171
57	0.2681332211
58	0.266963516
59	0.2645506801
60	0.2634290796
61	0.2620906506
62	0.2615370459
63	0.2599483541
64	0.2580060424
65	0.2563826166
66	0.2548591413
67	0.2537172932
68	0.2533402507
69	0.252445275
70	0.2521469707
71	0.2508176857
72	0.2502911414
73	0.2492727521
74	0.2482807445
75	0.2472590577
76	0.2464100703
77	0.2452059548
78	0.244967464
79	0.243913625
80	0.2428986226
81	0.2422829566
82	0.2414918308
83	0.2407735914
84	0.2400590754
85	0.238696327
86	0.2375727949
87	0.2367535942
88	0.2365619689
89	0.2355050694
90	0.2348773994
91	0.233381356
92	0.2322787493
93	0.2308980674
94	0.2299535921
95	0.2293106053
96	0.2285813434
97	0.2277719406
98	0.2274031212
99	0.2267128561
